time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
326,432.529751712,-559.819713312,1.10670838,21324.1469816273,8.90947652940432,6.76330836208021,284.142364388365,-0.209183524457515,-0.0169701243059985,-0.493174817694,0.0522512199928519,-1.0173168721911
326.05,432.529751712,-559.819713312,1.10670838,21324.1469816273,8.91099791161438,6.76335332904209,284.145529535312,-0.209008623766195,-0.0169701243059985,-0.493174817694,0.0522512199928519,-1.01827561017262
326.1,432.529751712,-559.819713312,1.10670838,21324.1469816273,8.91099791161438,6.76335332904209,284.145529535312,-0.209154374342295,-0.0169941468655755,-0.493174817694,0.0522512199928519,-1.01980959094306
326.15,429.116679392,-562.015722976,1.048136782,21324.1469816273,8.91099791161438,6.76335332904209,284.148694682259,-0.209125224227075,-0.0171382822230378,-0.493078943895848,0.0523470937910039,-1.02076832892458
326.2,429.116679392,-562.015722976,1.048136782,21323.8188976378,8.91099791161438,6.76335332904209,284.148694682259,-0.208921173420535,-0.0170421919847297,-0.493078943895848,0.0522512199928519,-1.02230230969501
326.25,429.116679392,-562.015722976,1.048136782,21323.8188976378,8.91099791161438,6.76335332904209,284.151859829206,-0.208833723074875,-0.0170421919847297,-0.492983070097696,0.0523470937910039,-1.02326104767653
326.3,429.116679392,-562.015722976,1.048136782,21323.8188976378,8.91099791161438,6.76335332904209,284.148694682259,-0.208775422844435,-0.0169941468655755,-0.492791322501392,0.0523470937910039,-1.02469915464881
326.35,426.8392332,-563.471938688,1.006506972,21323.8188976378,8.91168740502978,6.76355568037052,284.151859829206,-0.209037773881415,-0.0170782258240952,-0.49269544870324,0.0523470937910039,-1.02565789263033
326.4,426.8392332,-563.471938688,1.006506972,21323.8188976378,8.91168740502978,6.76355568037052,284.151859829206,-0.209212674572735,-0.0171382822230378,-0.492599574905088,0.0524429675891559,-1.02709599960261
326.45,426.8392332,-563.471938688,1.006506972,21323.8188976378,8.91168740502978,6.76355568037052,284.151859829206,-0.209241824687955,-0.0170061581453641,-0.49221607971248,0.0524429675891559,-1.02815061138228
